id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201542739349300904	42456	63819	63819		138	85
201530169349301023		0			38	68
201541349349306334		0			2258	1225
201510159349300126	58369	106122	106122		798502	304292
201511959349300836		0			2121	3456
201521349349305802		0			1211	816
201542019349300924	2067639	3247159	3247159		1752	32824
201542399349200914						
201532299349100643						
201541279349200034				2670		
201502259349301915		424	424			0
201522239349301617	0	0			15	14
201532299349100718			5920			
201542269349101064						
201522019349200232			RESTRICTED	14834		
201542269349100134			22000			
201522229349301082	1013087	885905	885905		343807	325797
201511339349304566	1350688	754085	754085		233850	139346
201511329349304391		0				0
201531839349300928	108	0			136091	71418
201521919349100507						
201521359349308262	53666	66169	66169		344	15
201541009349300229	9347	7450	7450		2249	1882
201542299349300919	5504	669	669		169100	87169
201502299349201550				112076		
201541219349300319	50000	37500	37500			0
201511679349100606						
201532229349301843	883734	500653	500653		447	449
201531159349100703						
201541359349306029	3482034	2666705	2666705		460	238
201501289349100625						
201501359349202370						
201542669349300224	17948712	18561533	18561533		307	1389
201512159349301361	296137	446503	446503		138	459
201512159349200531			RESTRICTED	26941		
201522299349302132	9673606	8568992	8568992		1983	2308
201542269349301409	460	280	280		12488	12031
201531359349100823						
201512129349300021		0			32	38
201501969349300520	0	0			8	7
201522409349300042	208081	450502	450502			0
201532249349302508		21000	21000			0
201501349349203010				59429		
201512169349200236				49014		
201521339349304172	337409	379483	379483			15
201542299349202914				0		
201542449349300204	300000	326473	326473		3981	3001
201531329349302758	81877	234791	234791		0	4
201542269349303054	1183239	943402	943402		3126	5982
201522229349302062	1727101	1932362	1932362		199516	230061
201502379349200010						
201530489349301023	343745	465383	465383		-455	61
201521359349102432						
201531399349200803			RESTRICTED	45346		
201512529349300821	43320	17346	17346			0
201501899349100300						
201531339349303738	0	0	0		25507	9457
201532119349100413						
201502379349200620				75		
201520929349100762						
201502389349200415						
201502389349200520						
201522269349303957	3911601	3702064	3702064		-26434	582
201522269349201802			RESTRICTED	115000		
201531329349200103				1750		
201542259349302464	1175	1541	1541		23	20
201511339349201381						
201521359349202467			RESTRICTED	21555		
201531359349309008	177773	327192	327192		102	0
201520959349200002						
201501339349305925	726054	638846	638846		369	289
201512379349200026						
201521809349300902	4603481	4469384	4469384		0	0
201532189349200408				7980		
201512379349200101				29530		
201541819349300834	2824	6006	6006		177	356
201512379349200116				44189		
201521349349302257	173226	163480	163480		23499	6566
201510409349300211	133614	162305	162305		238	194
201502039349300215		0			53257	77575
201502259349200045						
201531359349201218				105591		
201520699349200632				40722		
201512379349200306				108792		
201521739349100402						
201531059349200023				46184		
201541249349100244						
201511469349300271	2622820	2231305	2231305		4584216	5003400
201512379349200601			RESTRICTED	46268		
201501359349302300	847050	1157657	1157657		315	237
201512649349300051	93832	107849	107849		29463	88182
201511319349100501						
201531329349202558				80614		
201512649349300176	229981	417004	417004		584	2285
201511149349300031	230265	247888	247888			4
201512119349300411	13831	57626	57626		38	23
201521359349306547	1500	47971	47971		27	18
201521919349300507	0	0	0		0	0
201501179349301120	592476	359364	359364		3556	355514
201502239349300120	42070	18956	18956		64276	61871
201541359349201984				10820		
201511339349302746	600	7500	7500		16	8
201541349349304499	9848	10679	10679			0
201542679349300214	269671	243967	243967		1238	1888
201530219349200413				2823		
201511329349202406				350		
201531339349200138						
201522299349202922				24275		
201511609349200116			RESTRICTED	91600		
201510909349200716				0		
201501349349101200			14800			
201542239349301684	25821	23446	23446		76	68
201542269349201874			RESTRICTED	20000		
201542269349201884						
201532109349200243				19350		
201522449349200117			RESTRICTED	32762		
201541349349301214	0	0			0	113
201542299349200244				0		
201541769349200134				26875		
201540549349200314						
201541329349202634				16950		
201511879349300601	9149582	4996725	4996725		1518	3724
201522259349301402	0	0			2095	1493
201520439349301687		0				0
201542479349300004	18107	25258	25258		883	991
201540099349301059		0			10	4
201542309349200404						
201532259349301568	125780	65138	65138		118807	155688
201531109349100808			6543			
201540859349300714	12349638	13573350	13573350		787239	873891
201502359349300100	27165	102666	102666		20883	195
201531349349103193						
201501339349100410						
201501429349100400						
201502199349300900	173448	149275	149275		1114	287
201541349349102594						
201501059349100505						
201512259349302351	20607	23046	23046		1	1
201501619349300310	5175	6450	6450		-205	0
201501349349202140			RESTRICTED	113807		
201510489349200741				10250		
201512399349300116	0	91000	91000		136498	211174
201530869349200728				8378		
201501209349100100						
201531349349100338			75000			
201520859349301057	3553249	2609235	2609235		212137	174343
201541879349200009			RESTRICTED	72819		
201532619349300408	111692	194688	194688			0
201541489349300804	13500	0			31963	21223
201541339349101344			7591			
201500129349200860						
201531119349100608						
201501019349300415	20711	29115	29115			0
201541219349300249	423177	426979	426979		364	169
201531489349200203				0		
201502389349200135			RESTRICTED	15000		
201512399349300336	19587	22975	22975		5066	645
201511149349200221				1060		
201521739349200137			RESTRICTED	185765		
201521779349300037	175893	171789	171789		3633	3476
201532369349300508	22111	52419	52419		25975	7315
201532369349300513	1378236	1360453	1360453		307	348
