id	PYContributionsGrantsAmt	CYContributionsGrantsAmt	TotalContributionsAmt	ContributionsGiftsGrantsEtcAmt	PYInvestmentIncomeAmt	CYInvestmentIncomeAmt
201522459349300322	11500	3500	3500		387	-47
201521339349301702	0	0			0	0
201500349349300545	4351760	5084056	5084056		0	0
201502159349300890	3639	7100	7100		95	61
201520299349300117	302094	278796	278796		957	1953
201541349349308274	754400	8950	8950		22850	-12760
201541709349300034	5232351	5549000	5549000		-52815	-4175
201541749349300109	554392	215442	215442		-2906	27524
201541349349300744	40100465	39680182	39680182		1264	40954
201541819349300439	372905	325500	325500		6431	1741
201511339349303121	12089153	12761128	12761128		1958	556
201532519349300518	2236380	6636093	6636093		6440	8916
201501669349300130	908994	717626	717626		348851	602977
201500789349300715	8519708	8247890	8247890		42531	45190
201511219349301556	6788332	0			0	0
201512619349301101	17446	16044	16044		0	0
201531349349304183	826238	730770	730770		3644	12873
201520449349300302	65455	74856	74856		51	11
201531349349304818	151595	141000	141000		1339	1528
201520469349300707	92700	64627	64627		391	222
201512089349301156	128698	78870	78870		10	81136
201512679349300921	6675	12500	12500		933	231
201512679349301011	1600827	451942	451942		232030	375158
201502649349300620	864528	591970	591970		54	149
201520439349302347	895987	941745	941745		289234	331910
201532299349302048	174559	193187	193187		2457	2032
201532269349302523	641052	721470	721470		36381	17456
201511969349301416	2161250	2023836	2023836		0	0
201502259349301535	422378156	396536928	396536928		7652440	7193609
201542259349302579	3154488	3144257	3144257		45384	19639
201511709349300316	8386	500	500		937	255
201532019349300763	16550	136888	136888		195978	158182
201542309349300029	867860	1270273	1270273		51	0
201542279349300314	6076	285	285		55	0
201502719349300915	0	0			6472	14343
201511349349307791	75775	76153	76153		35	24
201522649349300187	1202332	1116487	1116487		457	16
201532619349300808	492884	428673	428673		32200	37280
201511919349300341	462006	460032	460032		12035	11819
201502269349301245	69413	69052	69052		79	48
201512259349302626	23769	16190	16190		284035	119908
201532299349303418	221820	218309	218309		21	5
201522109349301272	241672	265835	265835		1533	1234
201541059349300624	89675	46050	46050		7	2
201512369349300336	0	0			9	8
201511319349303396	0	0			39769	156128
201542259349302629	532202	468811	468811		182101	263263
201502249349303070	406180	95566	95566		2614	14743
201531359349302878	0	0	0		0	0
201512729349301101	779058	357789	357789		53203	110827
201540489349300649	564	844	844		353770	951511
201502259349303865	175975	186550	186550		1701	1581
201502729349300605	424811	945237	945237		151354	173650
201541359349304719	87964	81395	81395		32	32
201541829349300314	0	0			182	83
201532339349300513	15908	12286	12286		4560	-6953
201511349349306591	144441	55243	55243		260410	428394
